ad_id,street_name,price,address,bedrooms,bathrooms,reception,link,subway_station,distance,efficient,average_epc_B,average_epc_C,average_epc_D,average_epc_E,average_epc_F,tube_line_Bakerloo,tube_line_Central,tube_line_Circle,tube_line_DLR,tube_line_District,tube_line_Hammersmith & City,tube_line_Jubilee,tube_line_Kew Gardens,tube_line_London Overground,tube_line_London Underground,tube_line_Metropolitan,tube_line_Northern,tube_line_Piccadilly,tube_line_Victoria,tube_line_nan
157876,Cholmeley Park,3250000.0,"Highgate Village, N6",3,2,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/157876,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157876,Cholmeley Park,3250000.0,"Highgate Village, N6",3,2,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/157876,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160198,Cholmeley Park,2850000.0,"Highgate Village, N6",5,5,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-cholmeley-park-london-n6/160198,Northern Highgate,0.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160198,Cholmeley Park,2850000.0,"Highgate Village, N6",5,5,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-cholmeley-park-london-n6/160198,Northern Highgate,0.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160198,Cholmeley Park,2850000.0,"Highgate Village, N6",5,5,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-cholmeley-park-london-n6/160198,Northern Highgate,0.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160198,Cholmeley Park,2850000.0,"Highgate Village, N6",5,5,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-cholmeley-park-london-n6/160198,Northern Highgate,0.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157875,Cholmeley Park,1975000.0,"Furnival House, N6",2,2,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/157875,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157875,Cholmeley Park,1975000.0,"Furnival House, N6",2,2,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/157875,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157875,Cholmeley Park,1975000.0,"Furnival House, N6",2,2,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/157875,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157875,Cholmeley Park,1975000.0,"Furnival House, N6",2,2,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/157875,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
152608,Gatliff Road,3995000.0,"Belgravia, SW1W",4,4,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-gatliff-road-london-sw1w/152608,Sloane Square,0.45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131919,Rochester Row,3990000.0,"Westminster, SW1P",4,4,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-rochester-row-london-sw1p/131919,Victoria,0.31,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131919,Rochester Row,3990000.0,"Westminster, SW1P",4,4,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-rochester-row-london-sw1p/131919,Victoria,0.31,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161477,Rochester Row,1350000.0,"Westminster, SW1P",2,2,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-rochester-row-london-sw1p/161477,St.James's Park,0.27,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
